AFG	Afghanistan	Gross domestic product per capita, current prices	U.S. dollars	Units	528.181	2007
AFG	Afghanistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	912.228	2007
AFG	Afghanistan	Total investment	Percent of GDP		26.521	2011
AFG	Afghanistan	Gross national savings	Percent of GDP		30.398	2011
AFG	Afghanistan	General government gross debt	Percent of GDP			
ALB	Albania	Gross domestic product per capita, current prices	U.S. dollars	Units	3704.52	2008
ALB	Albania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7497.85	2008
ALB	Albania	Total investment	Percent of GDP		25.886	2008
ALB	Albania	Gross national savings	Percent of GDP		14.509	2008
ALB	Albania	General government gross debt	Percent of GDP		57.821	2011
DZA	Algeria	Gross domestic product per capita, current prices	U.S. dollars	Units	4572.87	2011
DZA	Algeria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7112.05	2011
DZA	Algeria	Total investment	Percent of GDP		41.428	2011
DZA	Algeria	Gross national savings	Percent of GDP		48.947	2011
DZA	Algeria	General government gross debt	Percent of GDP		10.935	2011
AGO	Angola	Gross domestic product per capita, current prices	U.S. dollars	Units	4328.51	2000
AGO	Angola	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	5748.94	2000
AGO	Angola	Total investment	Percent of GDP		12.668	2011
AGO	Angola	Gross national savings	Percent of GDP		21.692	2011
AGO	Angola	General government gross debt	Percent of GDP		37.628	2009
ATG	Antigua and Barbuda	Gross domestic product per capita, current prices	U.S. dollars	Units	12985.73	2009
ATG	Antigua and Barbuda	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	17681.39	2009
ATG	Antigua and Barbuda	Total investment	Percent of GDP		29.303	2010
ATG	Antigua and Barbuda	Gross national savings	Percent of GDP		16.194	2010
ATG	Antigua and Barbuda	General government gross debt	Percent of GDP		90.621	2011
ARG	Argentina	Gross domestic product per capita, current prices	U.S. dollars	Units	9162.3	2006
ARG	Argentina	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	16061.65	2006
ARG	Argentina	Total investment	Percent of GDP		24.451	2010
ARG	Argentina	Gross national savings	Percent of GDP		22.595	2010
ARG	Argentina	General government gross debt	Percent of GDP		49.178	2010
ARM	Armenia	Gross domestic product per capita, current prices	U.S. dollars	Units	2840.43	2011
ARM	Armenia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	5099.94	2011
ARM	Armenia	Total investment	Percent of GDP		31.313	2011
ARM	Armenia	Gross national savings	Percent of GDP		16.66	2011
ARM	Armenia	General government gross debt	Percent of GDP		33.342	2011
AUS	Australia	Gross domestic product per capita, current prices	U.S. dollars	Units	56097.79	2011
AUS	Australia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	39545.16	2011
AUS	Australia	Total investment	Percent of GDP		26.794	2011
AUS	Australia	Gross national savings	Percent of GDP		23.925	2011
AUS	Australia	General government gross debt	Percent of GDP		20.524	2011
AUT	Austria	Gross domestic product per capita, current prices	U.S. dollars	Units	45306.39	2011
AUT	Austria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	39777.04	2011
AUT	Austria	Total investment	Percent of GDP		21.602	2011
AUT	Austria	Gross national savings	Percent of GDP		24.611	2011
AUT	Austria	General government gross debt	Percent of GDP		71.838	2011
AZE	Azerbaijan	Gross domestic product per capita, current prices	U.S. dollars	Units	5847.26	2009
AZE	Azerbaijan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	10058.94	2009
AZE	Azerbaijan	Total investment	Percent of GDP		18.532	2011
AZE	Azerbaijan	Gross national savings	Percent of GDP		46.955	2011
AZE	Azerbaijan	General government gross debt	Percent of GDP		11.148	2011
BHS	The Bahamas	Gross domestic product per capita, current prices	U.S. dollars	Units	22556.32	2008
BHS	The Bahamas	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	29629.83	2008
BHS	The Bahamas	Total investment	Percent of GDP		24.64	2011
